GET	/api/integration/health	com.bigbrightpaints.erp.controller.IntegrationHealthController#health	src/main/java/com/bigbrightpaints/erp/controller/IntegrationHealthController.java
GET	/api/v1/accounting/accounts	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#accounts	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
POST	/api/v1/accounting/accounts	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#createAccount	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
POST	/api/v1/accounting/accruals	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#postAccrual	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
GET	/api/v1/accounting/aging/suppliers/{supplierId}	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#supplierAging	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
GET	/api/v1/accounting/aging/suppliers/{supplierId}/pdf	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#supplierAgingPdf	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
GET	/api/v1/accounting/audit/digest	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#auditDigest	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
GET	/api/v1/accounting/audit/digest.csv	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#auditDigestCsv	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
POST	/api/v1/accounting/bad-debts/write-off	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#writeOffBadDebt	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
POST	/api/v1/accounting/credit-notes	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#postCreditNote	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
POST	/api/v1/accounting/debit-notes	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#postDebitNote	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
GET	/api/v1/accounting/default-accounts	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#defaultAccounts	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
PUT	/api/v1/accounting/default-accounts	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#updateDefaultAccounts	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
GET	/api/v1/accounting/gst/return	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#generateGstReturn	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
POST	/api/v1/accounting/inventory/landed-cost	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#recordLandedCost	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
POST	/api/v1/accounting/inventory/revaluation	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#revalueInventory	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
POST	/api/v1/accounting/inventory/wip-adjustment	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#adjustWip	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
GET	/api/v1/accounting/journal-entries	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#journalEntries	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
POST	/api/v1/accounting/journal-entries	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#createJournalEntry	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
POST	/api/v1/accounting/journal-entries/{entryId}/cascade-reverse	com.bigbrightpaints.erp.modules.accounting.controller.AccountingController#recordDealerReceipt	src/main/java/com/bigbrightpaints/erp/modules/accounting/controller/AccountingController.java
